14838,16565,"Don Cameron",NULL,"Male",NULL,NULL,NULL,"Cameron","Don",NULL
17687,19673,"Alcides Aguiar Caminha","Carlos Zéfiro","Male","1921-09-26T00:00:00",NULL,"Rio de Janeiro, Brazil","Caminha","Alcides Aguiar","1992-07-05T00:00:00"
14078,15714,"Hamilton Camp",NULL,"Male","1934-10-30T00:00:00","London, England",NULL,"Camp","Hamilton","2005-10-02T00:00:00"
14040,15671,"Paul Campbell","Cydner Paul Campbell","Male",NULL,NULL,NULL,"Campbell","Paul",NULL
4712,5183,"Wilbur Campbell",NULL,"Male","1926-07-30T00:00:00","USA","Chicago, Illinois","Campbell","Wilbur",NULL
120,132,"Billy Campbell",NULL,NULL,NULL,NULL,NULL,"Campbell","Billy",NULL
3934,4314,"Jimmy Campbell",NULL,"Male","1903-01-01T00:00:00","United Kingdom","Newcastle-on-Tyne, England (exact DOB unknown)","Campbell","Jimmy",NULL
18532,20550,"Rodrigo Campello","Rodrigo Campello de Souza Ribeiro","Male",NULL,NULL,"Sao Paulo, Brazil","Campello","Rodrigo",NULL
7401,8433,"Gigi Campi",NULL,"Male","1928-12-15T00:00:00","Europe","Koln, Germany","Campi","Gigi","1928-12-15T00:00:00"
1427,1624,"Pupi Campo",NULL,"Male","1920-05-01T00:00:00","Caribbean","Havana, Cuba","Campillo","Jacinto ",NULL
7573,8614,"Frank Campo",NULL,"Male","1927-01-01T00:00:00","USA","New York, New York","Campo","Frank","1927-12-31T00:00:00"
4594,5048,"Joaquim Campos da Silva",NULL,"Male",NULL,NULL,NULL,"Campos da Silva","Joaquim",NULL
3567,3925,"Pete Candoli","Walter Joseph Candoli","Male","1923-06-28T00:00:00","USA","Mishawaka, Indiana","Candoli","Pete",NULL
6114,6905,"Conte Candoli",NULL,"Male","1927-07-12T00:00:00","USA","Mishawaka, Indiana","Candoli","Conte","1927-07-12T00:00:00"
3258,3594,"Hughie Cannon",NULL,"Male","1877-05-11T00:00:00","Midwest US","Detroit, MI","Cannon","Hughie",NULL
20387,23862,"Umberto Canto","Humberto Canto","Male",NULL,NULL,NULL,"Canto","Umberto",NULL
12441,13878,"Sam Caplan","Sam Kaplan","Male",NULL,NULL,NULL,"Caplan","Sam",NULL
1536,1750,"Willie Capo",NULL,NULL,NULL,NULL,NULL,"Capo","Willie",NULL
4087,4475,"Giovanni Capurro",NULL,"Male","2012-02-05T00:00:00","Western Europe","Naples, Italy","Capurro","Giovanni ",NULL
18389,20405,"Roy J. Carew","Ed Werac","Male","1883-12-15T00:00:00","Midwestern US","Mecosta, Michigan","Carew","Roy","1883-12-15T00:00:00"
4983,5483,"Bill Carey",NULL,"Male","1916-01-01T00:00:00","USA","Holister, California","Carey","Bill",NULL
